"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",76,342,374,1731,114,1444,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",66,144,257,720,114,1444,"LoggerFactory,Logger",""
"com.fasterxml",15,33,89,199,114,1444,"JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonProperty,JsonCreator,JsonIgnore,JsonTypeInfo$As,JsonNode,ObjectMapper",""
"javax.persistence",15,27,82,311,114,1444,"EntityManager,TypedQuery,MappedSuperclass,Basic,Lob,Column,GeneratedValue,Id,Embeddable",""
"jakarta.persistence",10,25,73,299,114,1444,"TypedQuery,EntityManager,MappedSuperclass,Basic,Column,Lob,GeneratedValue,Id,NoResultException",""
"io.axoniq",9,69,202,988,114,1444,"PersistentStreamProperties,ObjectUtils,NodeInfo$Builder,NodeInfo,ErrorMessage,ServerAddress,AxonServerConnectionFactory$Builder,AxonServerConnectionFactory,ErrorMessage$Builder",""
"org.springframework",8,53,245,528,114,1444,"Status,SimpleStatusAggregator,Health$Builder,AbstractHealthIndicator,ConfigurationProperties,ConfigurableListableBeanFactory,AnnotatedTypeMetadata,SpringBootCondition,ConfigurationCondition$ConfigurationPhase",""
"io.grpc",5,18,61,126,114,1444,"SslContextBuilder,ManagedChannelBuilder,GrpcSslContexts,StreamObserver,Channel,ClientResponseObserver,ClientCallStreamObserver,ClientCall$Listener,Metadata$Key",""
"org.hamcrest",5,27,59,370,114,1444,"Matcher,StringDescription,CoreMatchers,Description,TypeSafeMatcher,BaseMatcher,Matchers",""
"reactor.core",5,28,53,203,114,1444,"Flux,Mono,Sinks$EmitResult,Sinks$Many,MonoSink,ConnectableFlux,EmitterProcessor,Sinks,Sinks$MulticastReplaySpec",""
"com.google",4,9,12,18,114,1444,"ByteString,Strings,JsonObject,JsonElement,JsonArray,JsonParser",""
"com.github",3,7,21,107,114,1444,"TaskInstanceId,Scheduler,Task,Tasks$OneTimeTaskBuilder,SchedulerState,TaskInstance,ExecutionContext,ScheduledExecution,TaskWithDataDescriptor",""
"com.thoughtworks",3,10,33,121,114,1444,"CollectionConverter,UnmarshallingContext,HierarchicalStreamReader,HierarchicalStreamWriter,MarshallingContext,Mapper,CannotResolveClassException,XStream,MapConverter",""
"org.jobrunr",3,5,7,34,114,1444,"JobScheduler,JobBuilder",""
"org.axonframework",2,7,17,59,114,1444,"SpringUtils,SpringAggregateSnapshotter,SpringAggregateSnapshotter$Builder,SpringTransactionManager,SpringDataSourceConnectionProvider,MetricsConfigurerModule,GlobalMetricRegistry,MessageHandlerLookup,SpringAxonConfiguration",""
"org.junit",2,4,8,14,114,1444,"Statement,TestRule,Description,AfterEachCallback,BeforeEachCallback,ExtensionContext,Assertions",""
"org.quartz",2,9,36,187,114,1444,"Scheduler,TriggerBuilder,SchedulerContext,JobDetail,SchedulerException,Trigger,GroupMatcher,JobBuilder,JobKey",""
"com.lmax",1,7,14,46,114,1444,"BlockingWaitStrategy,ProducerType,WaitStrategy,Disruptor,RingBuffer,EventHandlerGroup,ExceptionHandler,LifecycleAware,EventHandler",""
"io.micrometer",1,1,2,6,114,1444,"SimpleMeterRegistry,MeterRegistry",""
"io.opentelemetry",1,5,21,74,114,1444,"StatusCode,SpanContext,SpanBuilder,Span,Scope,Context,TextMapPropagator,Tracer,SpanKind",""
"jakarta.validation",1,2,5,15,114,1444,"ValidatorFactory,ConstraintViolation,Validation,Validator",""
"javax.cache",1,2,12,48,114,1444,"CacheEntryExpiredListener,CacheEntryListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryRemovedListener,CacheEntryCreatedListener,CacheEntryUpdatedListener,CacheEntryListenerConfiguration,CacheEntryEventFilter",""
"javax.validation",1,2,5,15,114,1444,"ConstraintViolation,ValidatorFactory,Validation,Validator",""
"net.sf",1,2,8,54,114,1444,"Element,Ehcache,CacheEventListener,RegisteredEventListeners,CacheException",""
"nu.xom",1,3,5,15,114,1444,"ParsingException,Builder,Document",""
"org.dom4j",1,3,4,14,114,1444,"STAXEventReader,Document",""
"org.ehcache",1,3,10,45,114,1444,"CacheEventListener,EventType,CacheEvent,EventOrdering,EventFiring,Ehcache,CacheRuntimeConfiguration",""
"org.testcontainers",1,3,13,42,114,1444,"DockerImageName,ContainerLaunchException,GenericContainer,HttpWaitStrategy,Wait,MountableFile",""
