"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-4.10.3",5,16,6,320.0,26,89,6,"io.opentelemetry.context.propagation,io.opentelemetry.api.trace,javax.annotation,io.opentelemetry.context","TextMapSetter,TextMapGetter,TextMapPropagator,ContextPropagators,Tracer,SpanKind,SpanBuilder,Span,StatusCode",""
"axon-spring-boot-autoconfigure-4.10.3",75,101,47,134.66666666666666,300,670,47,"org.springframework.boot.autoconfigure.condition,org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.boot.context.properties","ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnProperty,ConditionalOnBean,ConditionalOnMissingClass,AnyNestedCondition,ConditionOutcome,ConditionalOnExpression,SpringBootCondition",""
"axon-server-connector-4.10.3",136,113,26,83.08823529411765,348,1402,26,"io.axoniq.axonserver.grpc,io.grpc,io.axoniq.axonserver.grpc.query,org.slf4j","ErrorMessage,InstructionAck$Builder,InstructionAck,SerializedObject,MetaDataValue$Builder,MetaDataValue,ProcessingInstruction$Builder,ProcessingInstruction,ProcessingKey",""
"axon-disruptor-4.10.3",22,13,5,59.09090909090909,33,93,5,"org.slf4j,com.lmax.disruptor,javax.annotation,com.lmax.disruptor.dsl","LoggerFactory,Logger,EventHandler,RingBuffer,ExceptionHandler,BlockingWaitStrategy,WaitStrategy,LifecycleAware,Nonnull",""
"axon-test-4.10.3",87,28,13,32.183908045977006,99,500,13,"org.hamcrest,javax.annotation,org.testcontainers.utility,org.testcontainers.containers","Matcher,StringDescription,Description,CoreMatchers,Matchers,TypeSafeMatcher,BaseMatcher,Nonnull,DockerImageName",""
"axon-modelling-4.10.3",158,35,5,22.151898734177216,99,356,5,"javax.annotation,javax.persistence,jakarta.persistence,org.slf4j","Nonnull,Nullable,EntityManagerFactory,EntityManager,EntityNotFoundException,Query,TypedQuery,Id,Entity",""
"axon-messaging-4.10.3",787,154,42,19.567979669631512,749,2975,42,"javax.annotation,org.slf4j,com.fasterxml.jackson.annotation,javax.persistence","Nonnull,Nullable,Logger,LoggerFactory,JsonCreator,JsonProperty,JsonTypeInfo$As,JsonTypeInfo$Id,JsonTypeInfo",""
"axon-eventsourcing-4.10.3",133,25,4,18.796992481203006,74,238,4,"javax.annotation,org.slf4j,jakarta.persistence,javax.persistence","Nonnull,PreDestroy,Nullable,Logger,LoggerFactory,Entity,IdClass,MappedSuperclass,Id",""
"axon-configuration-4.10.3",41,4,2,9.75609756097561,24,137,2,"javax.annotation,org.slf4j","Nonnull,Nullable,Logger,LoggerFactory",""
